date,product_id,qty_purchased,unit_cost_krw,supplier_country
2024-05-01,SKU-B002-WOOL,88,90927.0,KR
2024-05-01,SKU-C003-POLY,643,2501.0,CN
2024-06-01,SKU-A001-COTTON,198,19040.0,VN
2024-06-01,SKU-B002-WOOL,79,103824.0,KR
2024-06-01,SKU-C003-POLY,653,2549.0,CN
2024-07-01,SKU-A001-COTTON,221,18607.0,VN
2024-07-01,SKU-B002-WOOL,62,91951.0,KR
2024-07-01,SKU-C003-POLY,554,2023.0,CN
2024-08-01,SKU-A001-COTTON,260,18585.0,VN
2024-08-01,SKU-B002-WOOL,72,83136.0,KR
2024-08-01,SKU-C003-POLY,588,2283.0,CN
2024-09-01,SKU-A001-COTTON,272,20166.0,VN
2024-09-01,SKU-B002-WOOL,64,92673.0,KR
2024-09-01,SKU-C003-POLY,600,2429.0,CN
2024-10-01,SKU-A001-COTTON,275,16793.0,VN
2024-10-01,SKU-B002-WOOL,82,100688.0,KR
2024-10-01,SKU-C003-POLY,639,2376.0,CN
2024-11-01,SKU-A001-COTTON,227,18280.0,VN
2024-11-01,SKU-B002-WOOL,110,98619.0,KR
2024-11-01,SKU-C003-POLY,667,2089.0,CN
2024-12-01,SKU-A001-COTTON,272,17897.0,VN
2024-12-01,SKU-B002-WOOL,125,105204.0,KR
2024-12-01,SKU-C003-POLY,618,2309.0,CN
2025-01-01,SKU-A001-COTTON,251,18054.0,VN
2025-01-01,SKU-B002-WOOL,133,99006.0,KR
2025-01-01,SKU-C003-POLY,493,2474.0,CN
2025-02-01,SKU-A001-COTTON,214,18202.0,VN
2025-02-01,SKU-B002-WOOL,147,103043.0,KR
2025-02-01,SKU-C003-POLY,522,2162.0,CN
2025-03-01,SKU-A001-COTTON,277,17717.0,VN
2025-03-01,SKU-B002-WOOL,139,115700.0,KR
2025-03-01,SKU-C003-POLY,455,2785.0,CN
2025-04-01,SKU-A001-COTTON,236,18152.0,VN
2025-04-01,SKU-B002-WOOL,113,93466.0,KR
2025-04-01,SKU-C003-POLY,460,2434.0,CN
2025-05-01,SKU-A001-COTTON,214,20691.0,VN
2025-05-01,SKU-B002-WOOL,82,97598.0,KR
2025-05-01,SKU-C003-POLY,625,2855.0,CN
2025-06-01,SKU-A001-COTTON,222,18628.0,VN
2025-06-01,SKU-B002-WOOL,85,115622.0,KR
2025-06-01,SKU-C003-POLY,572,2359.0,CN
2025-07-01,SKU-A001-COTTON,242,20148.0,VN
2025-07-01,SKU-B002-WOOL,45,97389.0,KR
2025-07-01,SKU-C003-POLY,639,2430.0,CN
2025-08-01,SKU-A001-COTTON,289,18693.0,VN
2025-08-01,SKU-B002-WOOL,60,98776.0,KR
2025-08-01,SKU-C003-POLY,633,2740.0,CN
2025-09-01,SKU-A001-COTTON,298,19529.0,VN
2025-09-01,SKU-B002-WOOL,89,93964.0,KR
2025-09-01,SKU-C003-POLY,780,2785.0,CN
2025-10-01,SKU-A001-COTTON,294,20561.0,VN
2025-10-01,SKU-B002-WOOL,94,94962.0,KR
2025-10-01,SKU-C003-POLY,713,2267.0,CN
2025-11-01,SKU-A001-COTTON,274,19699.0,VN
2025-11-01,SKU-B002-WOOL,85,102607.0,KR
2025-11-01,SKU-C003-POLY,571,2367.0,CN
2025-12-01,SKU-A001-COTTON,256,19639.0,VN
2025-12-01,SKU-B002-WOOL,110,98074.0,KR
2025-12-01,SKU-C003-POLY,701,2672.0,CN
2026-01-01,SKU-A001-COTTON,250,19128.0,VN
2026-01-01,SKU-B002-WOOL,130,96786.0,KR
2026-01-01,SKU-C003-POLY,510,2747.0,CN
2026-02-01,SKU-A001-COTTON,248,18469.0,VN
2026-02-01,SKU-B002-WOOL,138,101794.0,KR
2026-02-01,SKU-C003-POLY,519,2599.0,CN
2026-03-01,SKU-A001-COTTON,232,19251.0,VN
2026-03-01,SKU-B002-WOOL,128,116245.0,KR
2026-03-01,SKU-C003-POLY,574,2555.0,CN
