date,product_id,product_name,category,units_sold,revenue,channel
2025-10-01,SKU-C003,기본 양말 3족 세트,잡화,382,3438000,온라인
2025-11-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,299,13455000,온라인
2025-11-01,SKU-B002,겨울 코트 블랙 L,코트,99,27720000,오프라인
2025-11-01,SKU-C003,기본 양말 3족 세트,잡화,466,4194000,온라인
2025-12-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,270,12150000,온라인
2025-12-01,SKU-B002,겨울 코트 블랙 L,코트,111,31080000,오프라인
2025-12-01,SKU-C003,기본 양말 3족 세트,잡화,652,5868000,온라인
2026-01-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,337,15165000,온라인
2026-01-01,SKU-B002,겨울 코트 블랙 L,코트,147,41160000,오프라인
2026-01-01,SKU-C003,기본 양말 3족 세트,잡화,485,4365000,온라인
2026-02-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,286,12870000,온라인
2026-02-01,SKU-B002,겨울 코트 블랙 L,코트,159,44520000,오프라인
2026-02-01,SKU-C003,기본 양말 3족 세트,잡화,408,3672000,온라인
2026-03-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,249,11205000,온라인
2026-03-01,SKU-B002,겨울 코트 블랙 L,코트,143,40040000,오프라인
2026-03-01,SKU-C003,기본 양말 3족 세트,잡화,286,2574000,온라인
